label,x_centroid,y_centroid,area,integrated_intensity,intensity_uncertainty,ellipticity,elongation,snr_approx
1,3312.4439691858697,19.480871642065456,76.0,21.632481687576668,0.07008564562086146,0.1571079761713785,1.1863915800955807,308.65780711503663
2,4185.3161646554245,58.59601803515061,142.0,40.675256246361165,0.08881250105945218,0.20445753863097915,1.2570039294686237,457.9902126518501
3,4239.469861152607,90.86597448161027,50.0,5.732665264379593,0.05315207325056441,0.197749184893945,1.246492968496147,107.85402927474176
4,2769.633715078678,100.97987327232197,45.0,16.075651099433646,0.1117887194375927,0.15871322434265545,1.1886553181804669,143.80387556374197
5,3077.5740622409553,131.07114435049942,152.0,38.76363590957361,0.09999286094863775,0.322068085013993,1.4750743812092704,387.66403463028126
6,3304.7681666428225,135.249319090576,60.0,7.887762490503252,0.060664851334573014,0.33576635214799466,1.5054943440968307,130.02195368453826
7,4025.4172770519804,154.17880883673772,60.0,7.7819314157242045,0.06018565293360179,0.2703692222205797,1.3705562189186007,129.2987786359884
8,5008.257779958811,164.10998206739382,28.0,2.370634611844434,0.03094128300723297,0.3057086222058062,1.4403174689811953,76.6172046353173
9,2959.8790753515905,170.07951564401068,37.0,4.173579951515652,0.04869717361592254,0.2924173606698828,1.41326248612702,85.70476768185607
10,5305.71815863491,183.04885934967177,24.0,2.0624240996899257,0.030774486903085978,0.2901480405951825,1.4087444385424535,67.0173350472047
11,4892.127862786429,189.90801721449006,31.0,2.598370450877873,0.03130056767257465,0.2872069091081022,1.4029316680787807,83.01352480436155
12,2432.6558256072826,190.3030999976241,24.0,2.7610039386311565,0.046025715134764,0.24624598772578188,1.3266927720660633,59.98828981900432
13,4740.122266858781,192.30940096111487,76.0,8.20258338584174,0.04976184267409749,0.16086231976733723,1.1916995548605753,164.8368095924918
14,2256.9631238180427,198.45633626663715,166.0,22.14941464892091,0.057215576238266404,0.3351075003457955,1.5040025275064426,387.12211088607614
15,1229.085159098987,197.67509916354985,90.0,6.758436957853186,0.03855419593219438,0.3765831790837635,1.6040632309700895,175.29705378214376
16,4471.148425117625,199.9671722075766,60.0,6.532535448465114,0.052858511668245636,0.21086422485729162,1.2672090551453692,123.58530806665688
17,2969.420857939865,201.38679074205524,29.0,3.318642220412663,0.0433932156777408,0.26950488356304436,1.3689345452130801,76.4783657670941
18,4322.741630803978,205.1042075856089,24.0,2.1642299326455143,0.03501267029856037,0.37033524118174643,1.5881466859869793,61.81276418481289
19,2216.105835668916,207.01206190389533,37.0,1.9477687070602365,0.023673985202955716,0.3491540197759565,1.5364618210529097,82.27464410246637
20,4778.525984558109,205.947002561411,24.0,1.9937904077798991,0.02731137028006445,0.3771804690037216,1.605601543035065,73.00221070325564
21,2513.516790965558,209.09474561314659,59.0,3.8713726355921607,0.029894859427936998,0.3350639828957934,1.503904096449754,129.4996099554939
22,1982.1554933085422,215.30133033815903,97.0,6.1315465058652014,0.038331549637908476,0.5308251679537497,2.131401626209613,159.96083027651275
23,3199.7633009551664,212.36587564929044,72.0,10.640374031209632,0.06477732620490514,0.3290631828888979,1.4904533102025423,164.26077849449595
24,1247.1624480918197,214.05632931294215,76.0,4.8028181509007295,0.033929487983974285,0.4398670603257253,1.7852904715468336,141.55292155216773
25,2622.730095582455,213.24312683834088,55.0,5.516987642176987,0.042527557065596466,0.31028142939741565,1.449866717560371,129.72735851408842
26,2330.869150681388,219.61034246861817,144.0,15.440876422779631,0.0467037503141752,0.35048930602721273,1.5396205317012028,330.6132017002738
27,1889.4851822195274,217.11437129608254,31.0,1.5511734866400266,0.021669623050814674,0.30597453090688265,1.4408693117656033,71.58285508716821
28,3648.4554820194035,221.25065128244563,62.0,9.347785252906828,0.06891182512858837,0.2628119370451747,1.3565059585904877,135.64849335312203
29,1788.75003501086,221.15566671534572,34.0,1.7713557955170967,0.02269394344923514,0.2870082936959165,1.402540858691995,78.05412045198328
30,3719.73740092243,220.47074027385364,25.0,2.9730128442239883,0.042949859281774694,0.4084526440942625,1.6904817340766698,69.22054912262666
31,1416.0161729819042,227.94695850732052,199.0,25.41817410148905,0.054903122911858934,0.3973535608514519,1.659347728682932,462.96408570957243
32,2085.1518856909543,225.31556529662106,85.0,6.046030175536079,0.03588227519532042,0.32603429136172235,1.483755014807003,168.49628800362612
33,3396.3867492046456,222.01105756856882,23.0,2.514932908014504,0.038221814190094065,0.3910666216851866,1.642215775340547,65.7983657056838
34,4270.139175123876,222.57172706244904,27.0,2.598911961072753,0.036775007913243424,0.32251855952794584,1.4760551954061236,70.67060236136163
35,4559.999058651739,226.10794252004501,117.0,14.442790540403257,0.06912682095371993,0.28285795750119147,1.394423894763723,208.9317914687938
36,5112.8467843273675,224.71076310878303,66.0,6.432410485191157,0.04428138052195046,0.1954553377097611,1.2429390770592803,145.26219393730477
37,3516.69351835848,226.8878110188053,38.0,4.766367662319729,0.05176016677385217,0.27949182337426837,1.38790930129784,92.08563185556751
38,5320.700356660106,232.58644570905665,23.0,1.7090669125500608,0.028726804204252818,0.23377121056318528,1.305093222528234,59.49380586849422
39,2062.381805331767,234.0926198308366,34.0,1.9632822271182828,0.02269394344923514,0.23829920963102558,1.312851466933087,86.51128577587303
40,2685.39122768614,236.95093336572134,57.0,5.981686022904875,0.05084652174933204,0.28831783880312234,1.4051216322722508,117.64199038813221
41,2512.814930564219,238.3435941349947,47.0,2.855725889000283,0.026682065058113075,0.21688544841029134,1.276952392175599,107.02791867048376
42,1802.6422314732772,239.36005453888595,32.0,1.6910857758680202,0.022016359035997753,0.21870833834044034,1.2799317451767973,76.81041961129984
43,3622.4277372513648,241.5293430407661,52.0,7.433815279899155,0.06281374538010569,0.24640883759650978,1.3269794682976612,118.34695152971385
44,3894.7642809018535,241.8614668918222,23.0,2.4057458224620945,0.037040222885976914,0.38303078101330945,1.620826403045518,64.94955038115842
45,3419.433360463916,244.54546126592913,31.0,3.6179775945183708,0.04465375980353088,0.278456474187158,1.385917777965602,81.02291073443469
46,1270.889099899565,254.60103543775676,292.0,55.318483605986266,0.06650616960078129,0.41209504434496014,1.7009552145819327,831.7797271749117
47,3592.3657968694606,253.9638019774458,162.0,24.409800898892698,0.10944761038226034,0.1644356875323718,1.1967959678013922,223.02726220918137
48,4203.441400985638,253.1364128261154,31.0,3.068235178387357,0.03843733219680403,0.36191409303040445,1.567187096717448,79.82435312309404
49,1447.4188604735457,259.15360153412655,73.0,4.436039892159559,0.033253084800390645,0.3397097929899626,1.514485584343671,133.40235706816125
50,1337.3787481979648,262.51381404974387,76.0,4.886741376140416,0.033929487983974285,0.31550192316364345,1.4609244844366023,144.02638137211332
51,342.1529136483864,267.54313346909777,82.0,5.474216129008191,0.03524337054085524,0.5180726419706607,2.0750015190860385,155.32612360847568
52,2444.5435482021076,264.1710555482595,20.0,1.0423600525892112,0.017405460084445483,0.18551031884533464,1.2277626385423877,59.88695774383602
53,4949.027758180335,267.5177461950688,88.0,8.403795975404792,0.04799107814892251,0.046316114978322775,1.0485654793016346,175.11163115208055
54,3743.3368343691454,270.33376529192316,81.0,11.967012875658078,0.07120540191859825,0.28379517494883055,1.396248621933753,168.0632726339881
55,2240.0274191083727,274.5214054771167,31.0,1.7132491481252836,0.021669623050814674,0.260219021292283,1.351751435603069,79.06224968047488
