label,ra,dec,x_centroid,y_centroid,segment_flux,segment_flux_err,snr,area,ellipticity,elongation
369,214.88086750296213,52.78421523114531,790.6454723092663,973.9274079976055,0.8127837671988871,0.06508333816772185,12.488354010120336,65.0,0.060075021631341374,1.06391469852797
370,214.88433971343756,52.78668155088678,417.2444802593872,972.7495862567471,0.203095242910261,0.03354232539398401,6.054894540695356,17.0,0.3959660099758715,1.6555359739938715
371,214.86984796986007,52.7763556567057,1978.5918827567257,975.4443052079304,2.5363113955673104,0.08011656885188638,31.657763580168496,91.0,0.3540929345865407,1.5482103440993915
372,214.88723116900042,52.78885704639153,95.59610828683326,980.8514415444589,29.89939018783952,0.21395424827015702,139.74665345315313,530.0,0.5004632629944199,2.001854770470724
373,214.881668683277,52.7848242926303,700.9673541434116,976.6298574098066,0.29369321804652215,0.03859852559159315,7.608923230748721,21.0,0.2621169918676528,1.3552283884827434
374,214.87407524636612,52.77945309694643,1515.615132166985,980.9608510837227,0.4984881237309883,0.04565598875762462,10.9183512896266,32.0,0.22767620696350943,1.2947937238452425
375,214.88369660968524,52.786785099634656,437.0910697094937,1014.6869921289031,356.3862125319297,0.5659163117033154,629.7507337423542,1890.0,0.1754178516972673,1.212735446745162
376,214.88409993613544,52.78662957914494,432.6153909031144,981.6414317561922,0.312660498610846,0.04093076942533128,7.638764259763617,25.0,0.6287629282640186,2.69369649783033
377,214.87782675669382,52.78215859827168,1108.5701005015633,982.6666810402071,0.2656786414245431,0.03497620956671868,7.59598151760125,19.0,0.09011815744118923,1.0990438024213727
378,214.87347923147226,52.77948432908375,1539.7049574797695,1015.0163368769364,85.25696394975932,0.3932691988154505,216.79034159440457,1951.0,0.5164044371520193,2.0678436214567837
379,214.8831987324964,52.78612298926557,517.7781895330094,991.8873979745746,0.7421345835846518,0.053554722978381486,13.857500185076681,39.0,0.2914826022209479,1.411397946097924
380,214.8713922842059,52.77796238880347,1767.6326235210518,1012.8269691782216,19.9102207085496,0.21204792257031368,93.89491048631943,622.0,0.713520827537124,3.490655154449621
381,214.88011550061316,52.78422370325437,823.7627199480679,1014.5854884748877,3.71116964892848,0.1065062965721028,34.84460326170563,160.0,0.14357471923888188,1.1676441862053453
382,214.88320763100384,52.78642564204767,490.74308044969735,1013.9480374178675,0.21419798080493327,0.036256319026177646,5.907879965704154,18.0,0.13626889773555928,1.1577677327796851
383,214.8777368072611,52.78268755251195,1066.0679114551199,1026.835017118341,1.0840530320395283,0.07186601680911951,15.084362264279077,77.0,0.28838671890322576,1.4052576400186765
384,214.87181100762822,52.77877213555484,1677.507631475325,1050.8128110434643,18.041560342870646,0.20975154510797084,86.01395681535337,551.0,0.6511390128503538,2.8664712789195983
385,214.88315998965044,52.786650443149256,473.10514551745086,1033.221394744408,0.2721004155041745,0.0406170927486371,6.699160306428008,22.0,0.4830156510349305,1.9342945332907282
386,214.8781850837618,52.78324674328218,996.6685768375007,1044.6043168331785,2.608635197142378,0.0873839717432291,29.85255928636028,106.0,0.52318976504661,2.097270416390608
387,214.88576959549158,52.788737935108706,171.89245874871904,1049.7648712334476,0.7225513950881146,0.05856327027168431,12.337961861352413,49.0,0.7054915667960497,3.3954885064615095
388,214.86934007376692,52.77694272579855,1949.7902373140566,1046.1874887899796,0.5715582287434654,0.04696387842528296,12.170166687846793,34.0,0.19990884010627807,1.2498575788949255
389,214.87379974156357,52.780169202305615,1464.9946904121068,1048.9379977391377,0.8722611987889821,0.05535318542221171,15.75810302759862,43.0,0.15591771800460297,1.184718624392892
390,214.87699844122022,52.78252242837246,1113.8486798331487,1053.8461332126715,0.7865805053161856,0.055247964552459554,14.237275738354207,45.0,0.35233907966011535,1.5440178164142004
391,214.87023455838002,52.77771326295192,1841.6916933914945,1055.9209467487058,1.517309595020032,0.07746721669194655,19.586473605392495,90.0,0.3187869999967595,1.4679696365090553
392,214.87560616204178,52.78151443334858,1265.256150643531,1052.9187243816225,0.3111761994521053,0.03992068948359755,7.794860346286355,22.0,0.28488068136916644,1.3983680400560268
393,214.8706378958926,52.77797954576046,1800.09240651342,1054.2686949517667,1.0309398238815275,0.06211385823317672,16.597581493188812,55.0,0.3285149969413965,1.4892365361028406
394,214.8721601278193,52.77927128848971,1617.8541554322724,1069.3838576175208,31.68824956596108,0.2026046004410688,156.4043930738788,476.0,0.22643755265291576,1.292720456414965
395,214.8857200830564,52.788821413583186,166.77582217368285,1058.6155771147135,0.3211672337876137,0.0445654916356287,7.206635044296261,24.0,0.1000210595220481,1.1111371111294337
396,214.86809859788684,52.77624139299183,2067.423177841165,1060.0831960158837,0.3119326287831192,0.06102355955034364,5.111675409982908,21.0,0.1772457159357178,1.2154297089285888
397,214.870750866074,52.77814445750954,1780.4905420771213,1060.5301236707303,0.15970397778045517,0.027644670511538134,5.7770259086213045,12.0,0.030692830723870745,1.0316647103175682
398,214.88658225730592,52.7895189484963,66.56954378103268,1064.6703708078749,1.0021852283464763,0.05617876422655015,17.839218112826384,43.0,0.2677223144399209,1.3656021748568712
399,214.88516240822725,52.788535912169515,217.01189726215875,1067.0365123492609,0.9583304377681179,0.05812224967659342,16.488185558895356,44.0,0.23805529165477513,1.312431189622379
400,214.8699203119991,52.77775862413308,1851.849422619307,1076.0287524979972,6.057753648281918,0.1269295861501813,47.7253084329328,226.0,0.3885062339216029,1.6353396477173476
401,214.88552842482434,52.788858815113564,172.1146900841964,1071.600265233034,0.48089190570509466,0.04809135164918984,9.999550630496698,33.0,0.6977685105862179,3.308722072407584
402,214.87155932368483,52.7790504595396,1664.3440502382944,1084.93127950516,26.591224238578477,0.21938359586328104,121.2088084067599,623.0,0.47304840854802055,1.8977075242235584
403,214.87442364088545,52.78129664418519,1337.6719871411249,1099.656176948015,24.21661856892282,0.2650369073307801,91.37074082553791,948.0,0.1568484414526018,1.1860263909407036
404,214.87211576053295,52.7794519099361,1603.954645747769,1085.1917834243084,1.6671891111942918,0.08160464157140333,20.43007700408213,101.0,0.2977634199068666,1.4240215168901853
405,214.88538713128736,52.78892734357942,172.44644457485307,1084.222269844191,0.5044161748302548,0.05150131731218412,9.794238306034954,36.0,0.6241607599543308,2.660712063696403
406,214.87634406997822,52.78249505161473,1145.7239053239816,1086.6415644098947,0.4888649910063567,0.04788259969233605,10.209658501157008,33.0,0.40382222401088874,1.677352025309753
