label,x,y,area,mean_probability,max_probability
1,1434.5021154042206,24.137826231012337,156944,0.9958116,0.99999964
2,5011.682692307692,4.384615384615385,104,0.9690279,0.99708664
3,4904.836956521739,6.206521739130435,92,0.95005417,0.99209577
4,4112.090909090909,3.909090909090909,22,0.9797371,0.9997992
5,4939.939393939394,16.984848484848484,66,0.86124825,0.9592294
6,5151.024,20.416,125,0.92473626,0.99025834
7,4746.291666666667,21.333333333333332,72,0.89409626,0.97289467
8,4500.391304347826,40.2536231884058,138,0.96830595,0.9976901
9,4670.029411764706,40.38235294117647,34,0.9631219,0.99863917
10,4185.8899082568805,60.711009174311926,218,0.98520726,0.9999994
11,4520.131578947368,60.86842105263158,76,0.854472,0.9665609
12,3312.2272727272725,61.27272727272727,22,0.7705202,0.8652117
13,5117.5,60.875,16,0.7995206,0.8940918
14,1411.8823529411766,63.588235294117645,17,0.74469835,0.8593929
15,3306.133333333333,64.4,15,0.82437897,0.9200947
16,3500.9,68.03333333333333,30,0.9173768,0.98695236
17,3672.6111111111113,70.88888888888889,18,0.7418033,0.8394875
18,1408.5,71.0,6,0.7919082,0.8575665
19,3008.2315789473682,76.88421052631578,190,0.96810156,0.9989242
20,340.9117647058824,73.6470588235294,34,0.8402163,0.96052307
21,354.0,73.5,6,0.71381944,0.78532314
22,3780.419811320755,88.22169811320755,212,0.9816097,0.9995937
23,4239.418326693227,91.75298804780877,251,0.9825933,0.9999051
24,3573.2549019607845,95.87745098039215,204,0.9854422,0.99933237
25,4364.146198830409,94.90058479532163,171,0.97117996,0.99885833
26,1143.9856459330144,97.23923444976077,209,0.990514,0.9999999
27,3398.4457831325303,99.63855421686748,166,0.9411794,0.99125695
28,1851.5,94.5,4,0.69727725,0.7233642
29,1583.6953125,105.265625,256,0.9774427,0.99955297
30,2770.936170212766,102.08510638297872,94,0.94686145,0.99999726
31,2644.244131455399,108.79342723004694,213,0.97317517,0.99868757
32,3543.2520547945205,113.83287671232877,365,0.9739255,0.998901
33,4445.612716763006,112.73410404624278,173,0.9781992,0.99906147
34,3711.0042918454938,115.40343347639485,233,0.95004827,0.9941236
35,2105.6363636363635,111.31818181818181,22,0.8133934,0.93977684
36,4017.4758620689654,114.79310344827586,145,0.9560379,0.99176276
37,1695.5735294117646,120.96323529411765,272,0.9862958,0.9996538
38,3567.5242718446602,119.83495145631068,206,0.9797269,0.99923563
39,4969.0,115.69811320754717,53,0.8161296,0.911862
40,4275.190476190476,120.5,42,0.8506933,0.9601104
41,5050.258064516129,121.16129032258064,62,0.8537953,0.96271634
42,4926.971698113208,127.40566037735849,106,0.9380248,0.9843662
43,5377.860082304527,131.23456790123456,243,0.9747361,0.99781656
44,3079.4821428571427,134.23928571428573,280,0.9800398,0.99999684
