label,x_centroid,y_centroid,area,segment_flux
1141,47.993861290656824,1541.8516830565482,21850.0,8025.443952053785
1358,2565.744416980005,1838.9849471857722,24109.0,6294.331038116943
5,1291.4777554091058,78.45437184495363,12177.0,3669.3790668956935
1259,1747.3391179154833,1759.1582938433871,18418.0,2256.160308576189
413,475.73644829814884,551.1908912373528,7582.0,1176.239687325433
1068,1451.886840644282,1393.753116056812,8185.0,1127.4506045943126
275,2514.230315834004,393.53510245617804,7413.0,946.5163944503292
1873,2322.874851612081,2551.5029959099843,4578.0,866.0559542635456
386,1853.4331122476829,519.6412811837798,6648.0,860.3490076297894
1695,1126.6549947839121,2283.850524797383,2942.0,749.8107089875266
796,2184.4579728873555,987.6542249147421,3901.0,727.1501307189465
700,458.82648672293226,903.5912878338379,3836.0,614.3579455995932
563,2807.3922591974624,738.6955354697981,3626.0,543.3898669895716
1349,2803.6525263561584,1767.7455165229744,3251.0,531.5624811714515
45,12.96845417506851,93.70846745217648,4648.0,448.5404892778024
1690,1687.486928455101,2264.0215213029296,1377.0,391.9840628160164
1647,46.16001382574647,2221.382297528557,4655.0,355.63887289352715
1157,2382.896336522919,1502.148520113229,2714.0,348.75725839007646
668,2345.823265983212,864.6557463168162,4228.0,326.5113410009071
1484,2825.4713591227983,1941.668272660439,1130.0,320.1893510762602
319,442.6072142381066,419.86480337257035,4479.0,313.84239348676056
108,670.6647137636154,159.91315350511005,2469.0,308.10091413371265
1495,314.77070269890817,1992.370445468207,5285.0,302.543582000304
930,1724.13364340995,1156.5661251315178,3166.0,268.3525575408712
1584,375.4074268809852,2095.5822377308264,3172.0,251.06577783823013
1704,2088.043604701903,2292.275509557782,4082.0,247.81652551330626
2186,2545.2990227378855,2988.5775748432256,1947.0,239.40831731725484
1987,1078.7197704988434,2741.2910109398654,6516.0,234.5999195757322
2027,1772.138635417059,2744.0915423918423,2196.0,216.19846891146153
33,1633.540679150926,67.9550583655648,3190.0,215.0887193121016
151,375.72256316693733,222.123855277421,5790.0,187.70999905560166
1326,200.1111643010147,1733.5749110365002,1681.0,182.52222414733842
1730,1964.9114799851004,2318.7974394851667,2679.0,164.65826115291566
1692,2930.9911529044725,2268.9237018683593,2543.0,160.72820626199245
901,1935.3214227861336,1122.3968507641655,1587.0,153.75662070326507
584,2359.0993492766174,766.6639644685313,2471.0,143.68892156518996
606,2914.5565996140845,782.8754226899155,2123.0,137.61096736602485
1185,842.2898551784342,1534.7936240608667,1488.0,128.99179835338145
1665,2214.467721002059,2216.6739954744944,1439.0,123.53670579195023
1838,1052.8573861454438,2485.613945399269,3125.0,111.99193891463801
1794,1899.0026246080804,2408.8360949859866,1595.0,111.2669239435345
1473,887.9527628477581,1917.1012612194227,1945.0,106.32249700091779
2039,1199.1979314932705,2820.4259892777422,5008.0,106.21928696567193
2044,1447.521745375715,2778.914078457359,2777.0,98.07802874594927
295,2922.5399229668155,377.99934283282363,1942.0,97.27370146615431
1938,2988.192737872818,2617.0625501121463,476.0,88.29986924910918
255,756.5049011927711,336.04819492052457,1415.0,80.3030489673838
1189,550.7776097960159,1557.717907537464,2256.0,65.78922793455422
672,4.481807623398632,900.3305483750188,1543.0,64.92528084013611
1754,2355.0617921361704,2341.4797907265834,1503.0,61.39297052193433
1120,647.3416938314117,1452.4338910287563,1684.0,60.642797525040805
1520,2985.3955369276905,1996.1312206041887,1130.0,60.30742780957371
1000,1828.1850311637672,1228.1378847885078,805.0,59.55615867394954
1029,2916.2651632482834,1297.3981150786876,1010.0,54.246418482623994
2136,2606.5651400061893,2922.2711513296904,1072.0,50.84806228009984
1570,706.804275932813,2079.720269669316,962.0,50.16314037516713
