case_group,source_key,z_spec,z_eazy,z_tabpfn_eazy,redshift_correction,eazy_absolute_normalized_error,hybrid_absolute_normalized_error,normalized_error_improvement,outlier_transition
Fixed EAZY outlier,GS:315258,3.482116026422475,0.3199999928474426,3.39985893572628,3.0798589428788374,0.705496246624156,0.018352289456873026,0.6871439571672829,Fixed EAZY outlier
Fixed EAZY outlier,GS:245893,3.486452377338586,0.3499999940395355,3.381962108055933,3.0319621140163973,0.6990940991910471,0.023290176846731195,0.675803922344316,Fixed EAZY outlier
Shared outlier,GN:1238092,3.6647381166551214,0.4099999666213989,1.0028123130538926,0.5928123464324937,0.6977322346163245,0.5706484988078986,0.1270837358084259,Shared outlier
Shared outlier,GS:73753,3.886783,1.0199999809265137,2.475536298569838,1.4555363176433245,0.5866401309559861,0.2887884936634514,0.2978516372925347,Shared outlier
New hybrid outlier,GN:1067323,0.2532995050430264,0.25,1.0949427909076448,0.8449427909076448,0.0026326548680102786,0.671542023656767,-0.6689093687887567,New hybrid outlier
New hybrid outlier,GS:393648,0.6442448256268355,0.6499999761581421,1.5702656010782312,0.9202656249200891,0.003500178587524252,0.5631891072537625,-0.5596889286662382,New hybrid outlier
Largest ordinary improvement,GS:303480,1.2948945129907947,1.5299999713897705,1.3038817777127751,-0.22611819367699537,0.10244717439869482,0.00391619949026235,0.09853097490843246,Non-outlier in both
Largest ordinary improvement,GN:1009377,2.5753690328621497,2.919999837875366,2.5793153946141696,-0.3406844432611966,0.09639027519834313,0.00110376347609096,0.09528651172225217,Non-outlier in both
Largest ordinary harm,GS:309703,2.432877030119454,2.419999837875366,2.008644434495872,-0.41135540337949417,0.0037511370582475247,0.12357931609592783,-0.11982817903768031,Non-outlier in both
Largest ordinary harm,GS:329422,3.559900324395331,3.7300000190734863,2.9384985090921063,-0.79150150998138,0.037303380025244665,0.13627530671640856,-0.09897192669116389,Non-outlier in both
